Class,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
6791.38,33,57.9928,269.8978,113.8,7.584,7.584,464.006,550.563,109.6,5.947,7.137,8.2,136.2759667,1212.275767,190.9088333
6957.469,102,1392.036,172.02075,208.8,28.204,28.204,635.401,581.658,133.1,7.282,10.655,28.7,277.3383958,1476.754958,232.7993333
7318.811,153,1197.032714,693.3785,314.4,60.358,60.358,606.002,587.587,138.9,7.574,13.086,25.9,321.4646845,1622.830036,229.8415
7975.63,192,1636.043889,193.433125,416.1,113.774,113.774,661.471,613.851,165.8,9.007,18.109,35.8,347.4302512,1754.496836,250.673
8780.777,165,3090.918857,240.539125,514,175.306,175.306,731.494,645.642,207.8,11.197,26.373,52.2,502.9813318,2161.090164,279.1176667
9090.36,252,5958.5462,288.4255,617.5,246.278,246.278,800.434,676.397,250.1,13.356,35.76,70.8,787.9895583,2742.18495,307.8078333
9417.429,273,6497.03,892.6953333,714.8,332.077,332.077,854.747,699.954,296.3,15.679,45.881,90.8,920.4200278,3021.171889,333.8935
9457.562,336,6374.601,1543.7805,820.6,437.989,437.989,952.122,741.77,357.6,18.632,62.44,123.6,1017.260292,3161.755417,376.0273333
9890.528,270,12127.2215,1780.1975,930,644.905,644.905,1115.797,789.094,449.8,22.811,92.556,183.2,1587.540583,4273.808667,442.2096667
6788.916,48,75.976,225.8958333,113.8,7.915,7.915,464.017,550.985,110,5.963,3.879,7.9,135.1871528,1210.083806,190.4573333
7004.438,96,1161.529333,171.4925,208.8,27.424,27.424,635.96,581.44,133,7.272,12.785,28.9,257.6689028,1444.947306,233.2261667
7319.396,126,1047.413375,693.379,314.4,60.353,60.353,605.169,587.437,138.9,7.567,13.052,25.8,306.6519479,1593.490229,229.6541667
7920.646,228,2103.506286,515.822,416.1,113.795,113.795,660.568,613.688,165.7,8.998,18.066,35.8,416.1531905,1882.978214,250.47
8630.697,285,3606.1295,240.539125,514,175.314,175.314,730.495,645.457,207.8,11.185,26.316,52.1,555.8041354,2241.946604,278.8921667
8971.394,234,5958.5966,288.4235,617.5,246.295,246.295,799.298,676.17,250.1,13.342,35.687,70.7,786.3672583,2719.368183,307.5495
9318.932,315,6496.982667,1339.043,714.8,332.208,332.208,853.701,699.779,296.3,15.661,45.799,90.7,961.0151389,3086.160945,333.6566667
9614.935,240,5666.359333,617.5166,820.6,438.098,438.098,951.073,741.605,357.5,18.611,62.342,123.4,872.9335778,2899.584822,375.7551667
9897.311,324,9095.439375,890.10025,930,644.963,644.963,1114.887,788.949,449.6,22.784,92.448,183,1265.094469,3630.302271,441.9446667
6997.838,36,107.5744286,274.3772,113.8,8.858,8.858,473.665,553.143,111.7,6.047,0,8.8,141.9018857,1256.407938,192.2258333
7095.364,96,870.21575,171.382125,208.8,27.259,27.259,635.133,581.244,133,7.262,13.192,28.9,233.3039063,1411.503479,233.1218333
7230.987,99,1396.576,231.1265,314.4,60.356,60.356,604.338,587.286,138.9,7.559,13.018,25.8,294.8929583,1555.407583,229.4835
8062.657,192,1472.4616,386.8665,416.1,113.801,113.801,659.666,613.524,165.7,8.989,18.023,35.7,349.7193417,1773.981017,250.267
8738.61,195,3606.154167,384.863,514,175.282,175.282,729.497,645.272,207.8,11.174,26.26,52,560.2153473,2268.984861,278.6671667
8954.433,360,4256.189714,329.6252857,617.5,246.22,246.22,798.166,675.943,250.1,13.328,35.613,70.5,658.28375,2460.661333,307.275
9275.432,294,7796.2864,334.76075,714.8,332.108,332.108,852.658,699.604,296.2,15.644,45.717,90.5,983.6988458,3124.564525,333.3871667
9488.306,408,10199.5132,514.6001667,820.6,438.134,438.134,950.027,741.441,357.4,18.589,62.245,123.2,1255.990281,3644.858894,375.4836667
9893.103,432,10394.93786,712.0806,930,645.076,645.076,1113.985,788.806,449.5,22.756,92.342,182.8,1367.446622,3834.53291,441.6981667
6999.114,60,134.1723,463.8676667,113.8,10.018,10.018,490.661,556.617,114.2,6.185,0,10.7,164.1865806,1296.828661,196.3938333
7102.317,84,985.0458571,227.8071667,208.8,26.481,26.481,633.651,580.761,132.6,7.239,15.319,28.9,246.423752,1439.075171,233.0783333
7281.575,144,1047.4435,231.1265,314.4,60.351,60.351,603.509,587.136,138.9,7.552,12.983,25.7,269.4543333,1513.149333,229.2966667
8031.673,216,1840.591375,257.9111667,416.1,113.797,113.797,658.766,613.361,165.7,8.98,17.98,35.6,371.5486285,1812.678757,250.0645
8684.521,270,3090.996143,240.53975,514,175.3,175.3,728.501,645.088,207.8,11.162,26.203,51.9,511.3991578,2162.559482,278.4423333
9073.471,198,2979.3658,576.84125,617.5,246.288,246.288,797.037,675.718,250,13.315,35.54,70.4,558.8577542,2281.911008,307.0016667
9297.933,210,7796.2174,535.6174,714.8,332.197,332.197,851.618,699.429,296.1,15.627,45.636,90.4,993.3199,3147.794133,333.135
9615.674,384,5666.418778,617.5234,820.6,438.052,438.052,948.984,741.277,357.4,18.568,62.148,123,884.6685982,2923.711363,375.2295
9894.887,540,8085.048444,890.10125,930,645.04,645.04,1113.084,788.664,449.4,22.729,92.235,182.6,1198.661808,3497.512782,441.452
6827.143,33,204.0161111,200.5305714,113.8,10.747,10.747,505.147,559.3,116.3,6.293,0,12.4,147.6900569,1231.539447,199.9066667
7106.294,66,1141.0245,341.0675,208.8,26.018,26.018,632.165,580.39,132.4,7.222,16.581,28.8,267.2071667,1481.534,232.9263333
7399.162,90,1675.9232,462.2533333,314.4,60.358,60.358,602.68,586.986,138.8,7.544,12.949,25.6,336.4876278,1667.016089,229.0931667
7986.688,156,2944.959,309.4936,416.1,113.791,113.791,657.869,613.198,165.7,8.971,17.937,35.5,462.7758,1987.8386,249.8625
8785.442,210,4327.4748,274.9025714,514,175.283,175.283,727.51,644.904,207.7,11.151,26.147,51.8,612.1796143,2381.183729,278.202
8966.506,360,5958.7902,1153.6755,617.5,246.254,246.254,795.911,675.493,250,13.301,35.467,70.2,868.570475,2883.787617,306.7286667
9362.434,294,7796.1392,892.6953333,714.8,332.154,332.154,850.58,699.255,296.1,15.61,45.555,90.2,1029.936878,3232.037089,332.8833333
9537.04,480,7285.417429,1543.8135,820.6,437.996,437.996,947.943,741.114,357.3,18.547,62.051,122.8,1104.631494,3350.811155,374.9591667
9988.672,324,7276.6645,1780.2025,930,644.879,644.879,1112.188,788.523,449.3,22.701,92.129,182.4,1187.322167,3490.736333,441.2068333
6998.248,57,441.6366,201.4412857,113.8,11.143,11.143,515.967,561.21,117.8,6.372,0,13.6,170.9260738,1303.878148,202.4915
7048.172,102,683.8593,272.9592,208.8,26.113,26.113,630.902,580.222,132.4,7.214,16.216,28.7,226.2915417,1390.31725,232.609
7308.753,135,1675.9458,346.69,314.4,60.361,60.361,601.855,586.836,138.8,7.537,12.915,25.6,330.5250667,1640.191633,228.9238333
8033.704,216,2944.9744,309.4936,416.1,113.798,113.798,656.974,613.035,165.6,8.962,17.894,35.4,467.6690833,2005.678333,249.6441667
8778.345,300,2704.641875,962.161,514,175.329,175.329,726.517,644.72,207.7,11.139,26.09,51.6,541.6022396,2239.079479,277.961
9058.546,198,3724.28775,288.418,617.5,246.236,246.236,794.789,675.268,250,13.287,35.393,70.1,596.6262292,2355.497958,306.4728333
9354.934,315,4872.535875,669.522,714.8,332.194,332.194,849.545,699.082,296,15.592,45.473,90,769.3281563,2709.830979,332.6153333
